trade_date,px_close
2025-03-27,106.73
2025-03-28,103.31
2025-03-31,102.77
2025-04-01,102.83
2025-04-02,103
2025-04-03,93.89
2025-04-04,85.82
2025-04-07,83.66
2025-04-08,78.22
2025-04-09,96.88
2025-04-10,88.71
2025-04-11,93.49
2025-04-14,94.58
2025-04-15,95.32
2025-04-16,88.39
2025-04-17,87.55
2025-04-21,85.63
2025-04-22,86.31
2025-04-23,90.46
2025-04-24,94.55
2025-04-25,96.66
2025-04-28,96.48
2025-04-29,96.09
2025-04-30,97.38
2025-05-01,96.73
2025-05-02,98.81
2025-05-05,100.62
2025-05-06,98.64
2025-05-07,100.41
2025-05-08,101.73
2025-05-09,102.91
2025-05-12,108.2
2025-05-13,112.55
2025-05-14,117.79
2025-05-15,115.05
2025-05-16,117.2
2025-05-19,114.82
2025-05-20,113.55
2025-05-21,112.11
2025-05-22,110.73
2025-05-23,110.37
2025-05-27,114.63
2025-05-28,112.92
2025-05-29,113.09
2025-05-30,110.78
2025-06-02,114.71
2025-06-03,117.37
2025-06-04,118.65
2025-06-05,115.69
2025-06-06,116.27
2025-06-09,121.81
2025-06-10,123.33
2025-06-11,121.22
2025-06-12,118.6
2025-06-13,116.21
2025-06-16,126.42
2025-06-17,127.2
2025-06-18,126.87
2025-06-20,128.3
2025-06-23,129.6
2025-06-24,138.5
2025-06-25,143.42
2025-06-26,143.74
2025-06-27,143.83
2025-06-30,142
2025-07-01,136.18
2025-07-02,138.61
2025-07-03,137.98
2025-07-07,134.84
2025-07-08,137.84
2025-07-09,138.43
2025-07-10,144.2
2025-07-11,146.46
2025-07-14,146.32
2025-07-15,155.64
2025-07-16,160.09
2025-07-17,160.46
2025-07-18,157.02
2025-07-21,157.02
2025-07-22,154.72
2025-07-23,158.73
2025-07-24,162.15
2025-07-25,166.53
2025-07-28,173.76
2025-07-29,177.54
2025-07-30,179.53
2025-07-31,176.33
2025-08-01,171.78
2025-08-04,176.85
2025-08-05,174.4
2025-08-06,163.13
2025-08-07,172.48
2025-08-08,172.84
2025-08-11,172.34
2025-08-12,174.98
2025-08-13,184.46
2025-08-14,181.05
2025-08-15,177.52
2025-08-18,176.2
2025-08-19,166.55
2025-08-20,165.3
2025-08-21,163.81
2025-08-22,167.83
2025-08-25,163.37
2025-08-26,166.72
2025-08-27,167.13
2025-08-28,168.62
2025-08-29,162.73
2025-09-02,162.38
2025-09-03,162.15
2025-09-04,161.81
2025-09-05,151.16
2025-09-08,151.41
2025-09-09,155.84
2025-09-10,159.56
2025-09-11,155.71
2025-09-12,158.63
2025-09-15,161.18
2025-09-16,160.48
2025-09-17,159.24
2025-09-18,158.01
2025-09-19,157.48
2025-09-22,159.8
2025-09-23,160.95
2025-09-24,160.89
2025-09-25,161.36
2025-09-26,159.55
2025-09-29,161.37
2025-09-30,161.8
2025-10-01,164.04
2025-10-02,169.8
2025-10-03,164.69
2025-10-06,203.76
2025-10-07,211.56
2025-10-08,235.6
2025-10-09,232.91
2025-10-10,214.96
2025-10-13,216.49
2025-10-14,218.1
2025-10-15,238.63
2025-10-16,234.6
2025-10-17,233.13
2025-10-20,240.58
2025-10-21,238.07
2025-10-22,230.3
2025-10-23,235.06
2025-10-24,252.96
2025-10-27,259.77
2025-10-28,258.01
2025-10-29,264.35
2025-10-30,254.92
2025-10-31,256.17
2025-11-03,259.74
2025-11-04,250.1
2025-11-05,256.35
2025-11-06,237.76
2025-11-07,233.56
2025-11-10,244.02
2025-11-11,237.61
2025-11-12,258.91
2025-11-13,248
2025-11-14,246.81
2025-11-17,240.56
2025-11-18,230.31
2025-11-19,223.56
2025-11-20,206.08
2025-11-21,203.8
2025-11-24,215.08
2025-11-25,206.19
2025-11-26,214.34
2025-11-28,217.61
2025-12-01,219.8
2025-12-02,215.28
2025-12-03,217.67
2025-12-04,215.99
2025-12-05,218
2025-12-08,221.13
2025-12-09,221.66
2025-12-10,221.48
2025-12-11,221.51
2025-12-12,210.88
2025-12-15,207.66
2025-12-16,209.17
2025-12-17,198.12
2025-12-18,201.1
2025-12-19,213.51
2025-12-22,215.01
2025-12-23,214.98
2025-12-24,215.06
2025-12-26,215.04
2025-12-29,215.68
2025-12-30,215.39
2025-12-31,214.23
2026-01-02,223.54
2026-01-05,221.16
2026-01-06,214.43
2026-01-07,210.09
2026-01-08,204.77
2026-01-09,203.18
2026-01-12,207.79
2026-01-13,221.03
2026-01-14,223.66
2026-01-15,228.02
2026-01-16,231.88
2026-01-20,231.97
2026-01-21,249.82
2026-01-22,253.74
2026-01-23,259.77
2026-01-26,251.36
2026-01-27,252.1
2026-01-28,252.77
2026-01-29,252.28
2026-01-30,236.79
2026-02-02,246.29
2026-02-03,242.11
2026-02-04,200.22
2026-02-05,192.57
2026-02-06,208.46
2026-02-09,216.08
2026-02-10,213.57
2026-02-11,213.6
2026-02-12,206.03
2026-02-13,207.4
2026-02-17,203.14
2026-02-18,200.16
2026-02-19,203.39
2026-02-20,200.2
2026-02-23,196.61
2026-02-24,213.91
2026-02-25,210.94
2026-02-26,203.68
2026-02-27,200.25
2026-03-02,198.72
2026-03-03,191.02
2026-03-04,202.17
2026-03-05,199.46
2026-03-06,192.43
2026-03-09,202.69
2026-03-10,203.23
2026-03-11,204.92
2026-03-12,197.79
2026-03-13,193.4
2026-03-16,196.64
2026-03-17,196.36
2026-03-18,199.5
2026-03-19,205.35
2026-03-20,201.35
2026-03-23,202.77
2026-03-24,205.39
2026-03-25,220.36
2026-03-26,203.78
2026-03-27,202.08
